AC | Ampla concorrência
AF | A1 - Candidatos que tenham cursado integralmente o ensino médio em instituições públicas de ensino e sejam aquicultores ou pescadores ou agricultores familiar ou seus filhos, cuja atividade principal atual provenha da aquicultura ou da pesca ou da agricultura na Região Amazônica.
AF | A4 - Candidatos egressos do Programa Projovem, PRONERA, casa familiar rural ou escola familiar agrícola na Região Amazônica.
AF | alunos(as) egressos(as) das Escolas Família Agrícola - EFA
AF | Candidato (s) que comprovem serem empregados rurais ou filhos de empregados rurais ou filhos/membros de famílias pronafianas ou filhos/membros de assentados da reforma agrária.
AF | Candidatos assentados pela reforma agrária
AF | Candidatos filhos de empregados rurais ou filhos de famílias pronafianas (famílias beneficiárias do Programa Nacional de Fortalecimento da Agricultura Familiar - PRONAF) ou filhos de Assentados da Reforma Agrária
AF | Candidatos filhos de empregados rurais ou filhos de famílias pronafianas (famílias beneficiárias do Programa Nacional de Fortalecimento da Agricultura Familiar ¿ PRONAF) ou filhos de assentados da Reforma Agrária.
AF | Filhos de empregados rurais ou filhos de famílias pronafianas (famílias beneficiárias do Programa Nacional de Fortalecimento da Agricultura Familiar ¿ PRONAF) ou filhos de assentados da Reforma Agrária.
AF | que comprovem serem empregados rurais ou filhos de empregados rurais ou filhos/membros de famílias pronafianas ou filhos/membros de assentados da reforma agrária (PRONAF)
AF | que comprovem serem empregados rurais ou filhos de empregados rurais ou filhos/membros de famílias pronafianas ou filhos/membros de assentados da reforma agrária.
AF | Reserva de vagas para candidatos de Agricultura Familiar (AF)
CIGANO + EP | pertencentes a povos de origem cigana, que tenham cursado integralmente o ensino médio em escolas públicas.
CIGANO + RENDA + EP | Candidatos Ciganos que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
CIGANO + RENDA + EP | Candidatos membros de Comunidade Cigana que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)
CIGANO + RENDA + EP | Categoria IV - Candidatos declarados ciganos, de baixa renda e egressos de escola pública
CIGANO + RENDA + EP | ciganos que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
CIGANO | Candidatos ciganos e que não tenham concluído curso de graduação.
CIGANO | Candidatos membros de Comunidade Cigana
CIGANO | ciganos e que não tenham concluído curso de graduação.
CIGANO | de origem cigana
CIGANO | membros de comunidade cigana
EP + PPI + RENDA | que tenham cursado integralmente o ensino médio em escolas públicas, autodeclarados pretos, pardos ou indígenas, nos termos da legislação, que comprovem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita.
EP + PPI | EGRESSOS DE ESCOLAS PÚBLICAS QUE SE AUTODECLARAM PRETOS, PARDOS E ÍNDIOS (EP PPI) - ENSINO FUNDAMENTAL E MÉDIO
EP + PPI | que tenham cursado integralmente o ensino médio em escolas públicas, autodeclarados pretos, pardos ou indígenas, nos termos da legislação, que não declarem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita.
EP + REGIONAL | A11 - Candidatos  que tenham cursado integralmente o  ensino  médio  em  escolas  localizadas  na  região de   abrangência   do   IFPA   campus   Castanhal,   conforme   Resolução   n°   111,   de   19/08/2015 CONSUP,  nos  municípios  de:  Aurora  do  Pará,  Bujaru, Castanhal,  Concórdia  do  Pará,  Curuçá, Igarapé-Açu, Inhangapi, Ipixina do Pará, Irituia, Magalhães Barata, Mãe do Rio, Marapanim, Santa Isabel do Pará, Santa Maria do Pará, São Domingos do Capim, São Francisco do Pará, São João da Ponta, São Miguel do Guamá, Terra Alta e Tomé-Açu.
EP + REGIONAL | A3 - Candidatos que tenham cursado integralmente o Ensino Médio em escolas localizadas na Região do Baixo Tocantins, Estado do Pará, nos municípios de Abaetetuba, Baião, Barcarena, Cametá, Moju, Igarapé-miri, Mocajuba, Oeiras do Pará e Limoeiro do Ajuru.
EP + REGIONAL | A5 - Candidatos que tenham cursado integralmente o Ensino Médio em escola pública localizadas na Região do Lago da Usina Hidrelétrica de Tucuruí, Estado do Pará, nos municípios de Baião, Breu Branco, Goianésia do Pará, Jacundá, Mocajuba, Nova Ipixuna, Novo Repartimento e Tucuruí.
EP + REGIONAL | Candidato (s) que comprovem ter cursado e concluído todo o Ensino Médio em escolas regulares ou técnico-profissionalizantes, públicas ou privadas, localizadas nos municípios baianos distantes até 150 (cento e cinquenta) quilômetros de qualquer um dos campi da Universidade Federal do Oeste da Bahia.
EP + REGIONAL | Candidato (s) que comprovem ter cursado e concluído todo o Ensino Médio em escolas, públicas ou privadas, localizadas nos municípios baianos distantes 150 quilômetros de qualquer campus da UFOB.
EP + REGIONAL | Candidatos A5 - Candidatos que tenham cursado integralmente o Ensino Médio em escola pública localizadas na Região do Lago da Usina Hidrelétrica de Tucuruí, Estado do Pará, nos municípios de Baião, Breu Branco, Goianésia do Pará, Jacundá, Mocajuba, Nova Ipixuna, Novo Repartimento e Tucuruí.
EP + REGIONAL | Candidatos que comprovarem ter cursado integralmente os ensinos fundamental e médio em escolas públicas do Distrito Federal.
EP | (as) que independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas brasileiras. (L3)
EP | A3 -  o candidato tenha cursado integralmente todas as séries do 2º ciclo do Ensino Fundamental, ou seja, do 6º ao 9º ano, e todas as séries, do Ensino Médio em escolas públicas de todo o território nacional.
EP | Candidato (s) com procedência de no mínimo sete anos de estudos regulares ou que tenham realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil, compreendendo parte do ensino fundamental (6º ao 9º ano) e Ensino Médio  completo (incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente.
EP | Candidato (s) Oriundos da rede pública de ensino.
EP | Candidato (s) Oriundos da rede pública de ensino..
EP | Candidato (s) que cursaram o ensino médio, integral e exclusivamente, em escola pública do Brasil e que não tenham concluído curso de graduação.
EP | Candidato (s) que frequentaram integralmente as 4 últimas séries do Ensino Fundamental e todas as séries do Ensino Médio em instituições públicas brasileiras de ensino.
EP | Candidato (s) que tenham cursado integral, exclusiva e regularmente os anos finais do Ensino Fundamental (6º ao 9º ano) e todo o Ensino Médio em escolas da rede pública estadual ou municipal, excluindo-se os candidatos que tenham concluído curso de nível superior ainda que pendente a colação de grau.
EP | Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino
EP | Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas e gratuitas de ensino
